trace_length_max,global_nesting_depth_max,call_depth_max,no_of_local_variables_max,taintCount_max,trace_length_mean,global_nesting_depth_mean,call_depth_mean,no_of_local_variables_mean,taintCount_mean,trace_length_median,global_nesting_depth_median,call_depth_median,no_of_local_variables_median,taintCount_median,trace_length_min,global_nesting_depth_min,call_depth_min,no_of_local_variables_min,taintCount_min
42,5,4,33,3,24.09090909,1.909090909,2.454545455,9.454545455,1.454545455,24,1,2,4,1,2,0,1,0,0
40,5,4,33,3,22.27272727,1.909090909,2.454545455,9.636363636,1.454545455,22,1,2,4,1,2,0,1,0,0
40,5,4,33,3,22.27272727,1.909090909,2.454545455,9.454545455,1.454545455,22,1,2,4,1,2,0,1,0,0
42,5,4,33,3,22.41666667,1.833333333,2.333333333,9.5,1.416666667,23,1,2,7,1,2,0,1,0,0
30,3,5,10,2,19.16666667,0.916666667,3.25,5.416666667,1.583333333,21.5,1,3.5,5,2,7,0,2,2,1
30,3,5,10,2,17.84615385,0.923076923,3.076923077,5.384615385,1.615384615,21,1,3,5,2,2,0,1,2,1
38,3,5,10,2,22.35294118,1.058823529,3.411764706,4.882352941,1.588235294,23,1,4,5,2,2,0,1,1,1
28,3,5,10,2,16.75,0.916666667,3,5.416666667,1.583333333,20,1,3,5,2,2,0,1,2,1
46,3,4,17,2,25.375,1.4375,2,9,1.25,22.5,1,2,11,1,2,0,1,0,1
46,3,4,17,2,24.23529412,1.411764706,1.941176471,8.647058824,1.235294118,22,1,2,11,1,2,0,1,0,1
44,3,4,17,2,23.8125,1.4375,2,8.875,1.25,20,1,2,9,1,2,0,1,0,1
46,3,4,17,2,24.23529412,1.411764706,1.941176471,8.647058824,1.235294118,22,1,2,11,1,2,0,1,0,1
58,4,4,17,2,36,2.727272727,2.909090909,7,1.045454545,37.5,3,3,5,1,2,1,1,0,0
64,6,4,18,2,38.65384615,3.192307692,2.923076923,7.461538462,1,42,3,3,7,1,2,1,1,0,0
56,4,4,16,3,34.04545455,2.727272727,2.954545455,6.5,1.181818182,35.5,3,3,5,1,2,1,1,0,0
56,4,4,17,2,34.09090909,2.727272727,2.909090909,7,1.045454545,35.5,3,3,5,1,2,1,1,0,0
5890,3,491,8,3,2942.685739,-230.0368444,235.9618552,2.10923277,0.983528392,2943,-227,233,1,1,2,-486,1,0,0
6948,3,474,8,3,3485.304545,-227.4272727,233.5947552,1.71013986,0.838461538,3487.5,-225.5,232,1,1,2,-469,1,0,0
5700,3,475,8,3,2846.54232,-223.0846395,229.0143305,2.10479176,0.982982535,2846,-219,225,1,1,2,-470,1,0,0
5699,3,476,8,3,2846.530228,-223.0967309,229.025974,2.103896104,0.982982535,2846,-219,225,1,1,2,-471,1,0,0
48,3,1,3,1,27.54545455,2.454545455,1,3,1,29,3,1,3,1,2,1,1,3,1
26,3,1,3,1,15.16666667,2,1,3,1,16.5,2,1,3,1,2,1,1,3,1
24,3,1,3,1,14.18181818,2.090909091,1,3,1,16,2,1,3,1,2,1,1,3,1
48,3,1,3,1,26.95652174,2.565217391,1,3,1,27,3,1,3,1,2,1,1,3,1
34,3,3,11,2,22,2,2.285714286,5.285714286,1.285714286,29,2,2,6,1,2,0,1,1,1
34,3,3,11,2,19.75,1.875,2.125,5.25,1.25,24,2,2,5.5,1,2,0,1,1,1
43,3,3,11,2,21.66666667,2,2.333333333,4.166666667,1.166666667,14.5,2,2,3.5,1,4,0,1,1,1
45,3,3,11,2,22,1.923076923,2.230769231,4.230769231,1.153846154,16,2,2,4,1,2,0,1,1,1
316,2,10,6,2,184.3571429,0.914285714,8.114285714,0.657142857,1.028571429,189.5,1,9,1,1,18,0,2,0,0
262,3,9,3,2,151.4193548,1.612903226,6.693548387,0.758064516,1.080645161,156,2,7,1,1,16,0,2,0,0
265,3,9,3,2,153.5483871,1.612903226,6.709677419,0.741935484,1.080645161,159,2,7,1,1,16,0,2,0,0
254,4,9,3,2,149.75,1.583333333,6.9,0.75,1.05,160.5,2,7,1,1,16,0,2,0,0
44,5,5,5,4,36.9,2.9,3.3,3.8,2,37.5,3,3.5,4,2,28,0,2,2,1
46,5,5,5,4,35.54545455,2.727272727,3.090909091,3.909090909,2,39,3,3,4,2,2,0,1,2,1
46,5,5,5,4,35.54545455,2.727272727,3.090909091,3.909090909,2,39,3,3,4,2,2,0,1,2,1
46,5,5,5,4,35.54545455,2.727272727,3.090909091,3.909090909,2,39,3,3,4,2,2,0,1,2,1
28,3,3,6,2,22,1.8,2.2,4.6,1.4,24,2,2,5,1,14,1,1,2,1
34,3,4,7,2,20.33333333,1.666666667,2.222222222,4.444444444,1.222222222,21,2,2,5,1,2,1,1,1,1
30,3,3,11,3,18.14285714,1.571428571,2,5.714285714,1.571428571,19,1,2,5,1,3,1,1,2,1
32,3,3,11,3,19.5,1.75,2.125,5.75,1.875,21,1.5,2,4.5,2,3,1,1,2,1
18,1,4,6,1,12.85714286,0,2.857142857,1.857142857,1,13,0,3,1,1,6,-2,1,1,1
12,2,2,6,1,8.6,1,1.6,2.2,1,10,1,2,1,1,4,0,1,1,1
20,1,4,6,1,13.5,0.125,2.625,1.875,1,14.5,0.5,3,1,1,4,-2,1,1,1
10,1,2,6,1,7.25,0.75,1.5,2.5,1,7.5,1,1.5,1.5,1,4,0,1,1,1
9,1,2,2,1,5.5,1,1.5,1.5,1,5.5,1,1.5,1.5,1,2,1,1,1,1
7,1,2,2,1,4.5,1,1.5,1.5,1,4.5,1,1.5,1.5,1,2,1,1,1,1
6,1,2,3,1,5.5,0.5,2,3,1,5.5,0.5,2,3,1,5,0,2,3,1
12,2,2,5,1,6.75,1.5,1.75,2,1,5.5,1.5,2,1,1,4,1,1,1,1
14,2,2,12,2,9.8,1,1.6,5.4,1.4,12,1,2,4,1,2,0,1,3,1
16,3,2,12,2,10.28571429,1.285714286,1.571428571,4.857142857,1.428571429,13,1,2,4,1,2,0,1,3,1
16,2,2,12,2,10.71428571,1.285714286,1.714285714,4.857142857,1.285714286,12,1,2,4,1,2,0,1,2,1
16,2,2,13,2,10.71428571,1.285714286,1.714285714,5.142857143,1.285714286,12,1,2,4,1,2,0,1,2,1
141,5,5,14,3,75.92307692,1.984615385,2.8,3.384615385,1.876923077,75,2,3,3,2,3,-1,1,0,0
78,5,4,14,3,44.02777778,2.138888889,2.305555556,3.722222222,1.583333333,45.5,2,2,2,1,3,-1,1,0,0
78,5,4,14,3,44.02777778,2.138888889,2.305555556,3.722222222,1.583333333,45.5,2,2,2,1,3,-1,1,0,0
80,5,4,15,3,44.97297297,2.054054054,2.297297297,4.054054054,1.567567568,47,2,2,2,1,3,-1,1,0,0
153,3,3,24,3,147.8,2,1.8,10.2,2,151,2,2,1,2,135,1,1,1,1
153,3,3,24,3,123.5,1.833333333,1.666666667,9,1.833333333,149.5,2,1.5,2,1.5,2,1,1,1,1
141,3,3,24,3,113.5,1.833333333,1.666666667,9,1.833333333,137.5,2,1.5,2,1.5,2,1,1,1,1
153,3,3,24,3,123.5,1.833333333,1.666666667,9,1.833333333,149.5,2,1.5,2,1.5,2,1,1,1,1
609,4,3,11,2,552.1538462,2.230769231,2.153846154,4.384615385,1.153846154,596,2,2,4,1,2,1,1,0,0
12,3,2,6,2,10.5,1.75,1.75,4.75,1.5,10.5,1.5,2,5,1.5,9,1,1,3,1
30,3,3,6,2,23.33333333,1.5,1.833333333,3.5,1.166666667,27.5,1,2,4,1,2,1,1,0,0
625,4,3,11,2,493.3333333,2.066666667,2.133333333,3.933333333,1.066666667,609,2,2,3,1,2,1,1,0,0
24038,8,6,15,2,12583.33202,5.519104084,4.363636364,6.920948617,1.637681159,12868,6,4,8,2,9,1,1,0,0
24038,8,6,15,2,12566.77763,5.513157895,4.359210526,6.913157895,1.636842105,12866.5,6,4,8,2,2,1,1,0,0
24038,8,6,15,2,12566.77763,5.513157895,4.359210526,6.913157895,1.636842105,12866.5,6,4,8,2,2,1,1,0,0
24038,8,6,15,2,12566.77763,5.513157895,4.359210526,6.913157895,1.636842105,12866.5,6,4,8,2,2,1,1,0,0
117,8,6,15,3,69.61904762,3.619047619,3.738095238,2.69047619,1.357142857,66,3.5,4,1.5,1,2,-1,1,0,0
115,8,6,15,3,67.66666667,3.619047619,3.738095238,2.69047619,1.357142857,64,3.5,4,1.5,1,2,-1,1,0,0
115,8,6,15,3,67.66666667,3.619047619,3.738095238,2.69047619,1.357142857,64,3.5,4,1.5,1,2,-1,1,0,0
121,8,6,16,4,69.68888889,3.555555556,3.666666667,3.066666667,1.666666667,67,3,4,2,1,2,-1,1,0,0
544,2,3,18,3,541.6,1.6,2,16,1.6,542,2,2,17,1,539,1,1,12,1
30,2,2,16,3,19.76923077,1.846153846,1.923076923,11.46153846,1.153846154,20,2,2,12,1,8,1,1,6,1
2132,2,3,21,5,1398.375,1.75,2.125,17.1875,2.25,1332.5,2,2,18,2,533,1,1,12,1
546,3,5,18,3,541.875,2,2.875,8.5,1,541.5,2,2.5,12,1,538,1,1,0,0
553,2,3,13,3,284.7925926,0.014814815,2.966666667,4.862962963,2.9,285,0,3,5,3,2,-1,1,0,0
1065,2,3,13,3,535.9943074,0.981024668,2.495256167,2.981024668,1.491461101,540,0,2,1,1,2,-1,1,0,0
555,2,3,20,4,284.8051471,0.018382353,2.966911765,6.830882353,3.852941176,285,0,3,7,4,2,-1,1,0,0
551,2,3,13,3,282.8,0.014814815,2.966666667,5.818518519,2.911111111,283,0,3,6,3,2,-1,1,0,0
439,4,2,23,3,317.8947368,2.473684211,1.789473684,4.947368421,1.105263158,382,3,2,0,1,2,0,1,0,0
326,4,2,22,3,253.962963,2.37037037,1.888888889,5.185185185,1.037037037,295,2,2,3,1,54,0,1,0,0
438,4,2,23,3,351.1785714,2.357142857,1.857142857,5.285714286,1.071428571,405.5,2,2,3.5,1,2,0,1,0,0
489,4,2,23,3,375.1428571,1.964285714,1.857142857,5.107142857,1.107142857,461.5,2,2,3.5,1,2,0,1,0,0
1640,4,5,5,1,842.8051282,2,3.317948718,1.128205128,0.964102564,791,2,3,1,1,10,1,1,0,0
824,3,5,5,1,438.4090909,1.954545455,3.575757576,1.545454545,1,440.5,2,3,1,1,2,1,1,1,1
1116,2,5,8,1,556.1337209,1.976744186,3.168604651,1.418604651,0.994186047,534,2,3,1,1,2,1,1,0,0
1640,4,5,5,1,838.5153061,1.994897959,3.306122449,1.142857143,0.964285714,790,2,3,1,1,2,1,1,0,0
27,3,2,6,3,20.5,2,1.5,4.333333333,1.666666667,24.5,2,1.5,4,1,6,1,1,2,1
36,3,2,43,3,22.47058824,2.647058824,1.823529412,22.23529412,1.235294118,23,3,2,22,1,4,1,1,2,1
44,3,2,6,3,28.8,2.2,1.6,4.8,1.6,28,2,2,5,1,4,1,1,2,1
94,3,2,79,3,51.73913043,2.826086957,1.913043478,36.08695652,1.130434783,52,3,2,34,1,4,1,1,2,1
64,6,4,11,5,38,2.266666667,2.266666667,5.533333333,2.733333333,47,2,2,5,4,2,0,1,0,0
75,6,4,12,5,41,2.3,2.25,5.3,2.45,39,2,2,5.5,1.5,3,0,1,0,0
67,6,4,11,5,39.0625,2.25,2.25,5.5625,2.625,43.5,2,2,4.5,3,5,0,1,0,0
81,6,4,12,5,46.6,2.6,2.48,6.12,2.36,47,2,2,6,1,3,0,1,0,0
18,0,6,3,2,15,-0.666666667,4.666666667,0.833333333,0.833333333,15.5,-1,4.5,0.5,0.5,10,-1,3,0,0
56,5,5,4,2,43.2,2.4,4,1,1.2,49.5,2.5,4,0.5,1,6,0,2,0,0
23,2,4,4,2,17.66666667,0.833333333,3.333333333,1.666666667,1.333333333,20.5,0.5,3.5,1,1.5,6,0,2,0,0
16,0,6,3,2,13,-0.666666667,4.666666667,0.833333333,0.833333333,13.5,-1,4.5,0.5,0.5,8,-1,3,0,0
22,2,3,6,2,14.44444444,0.777777778,2.111111111,2.555555556,0.888888889,14,1,2,3,1,2,0,1,0,0
30,4,2,9,2,16.36363636,1.818181818,1.363636364,5.272727273,1.636363636,16,1,1,6,2,2,1,1,2,1
28,5,2,7,2,14.55555556,2,1.222222222,4.666666667,1.777777778,12,1,1,5,2,2,1,1,2,1
28,5,2,7,2,14.55555556,2,1.222222222,4.666666667,1.777777778,12,1,1,5,2,2,1,1,2,1
38,3,3,18,2,24.85714286,2,2.285714286,8.285714286,1.428571429,33,2,2,7,1,6,0,1,1,1
38,3,3,18,2,22,1.875,2.125,8,1.375,26,2,2,6.5,1,2,0,1,1,1
51,3,3,18,3,25.84615385,2.076923077,2.384615385,6.153846154,1.615384615,20,2,2,4,1,6,0,1,1,1
53,3,3,18,3,26.21428571,2,2.285714286,6.142857143,1.642857143,19.5,2,2,4,1.5,6,0,1,1,1
131,4,2,5,1,67,2.5,1.5,3,1,67,2.5,1.5,3,1,3,1,1,1,1
179,7,3,40,1,140.6470588,5.470588235,2.352941176,15.23529412,1,146.5,6,2,10,1,3,1,1,2,1
189,7,3,40,1,146.7179487,5.666666667,2.435897436,13.53846154,1,152,6,2,5,1,3,1,1,2,1
184,7,3,40,1,142.9117647,5.617647059,2.352941176,15.23529412,1,148.5,6,2,10,1,3,1,1,2,1
53,4,4,11,2,30,2.058823529,2.352941176,4.058823529,1.411764706,24,2,2,4,1,2,0,1,0,1
51,4,4,11,2,28.23529412,2.058823529,2.352941176,4.058823529,1.411764706,22,2,2,4,1,2,0,1,0,1
59,4,4,11,2,32.0952381,2.142857143,2.380952381,4.142857143,1.428571429,26,2,2,4,1,2,0,1,0,1
63,4,4,11,2,34.04347826,2.173913043,2.391304348,4.173913043,1.434782609,28,2,2,4,1,2,0,1,0,1
21503,7,5,7,2,10886.73166,4.517374517,4.077220077,3.864864865,1.023166023,11067.5,5,4,3,1,6,0,1,1,1
22172,7,5,7,2,11063.17658,4.498141264,4.081784387,3.856877323,1.022304833,11092.5,5,4,3,1,2,0,1,0,1
21503,7,5,7,2,10865.75915,4.510597303,4.071290944,3.861271676,1.023121387,11066,5,4,3,1,2,0,1,1,1
831,7,5,9,2,324.328125,2.609375,3.15625,7.5625,1.0625,125,2,3,9,1,2,0,1,1,1
