,,trace_length_max,global_nesting_depth_max,call_depth_max,trace_length_mean,global_nesting_depth_mean,call_depth_mean,trace_length_median,global_nesting_depth_median,call_depth_median,AFL_data,KLEE_data
CAT,1,42,5,4,24.09090909,1.909090909,2.454545455,24,1,2,1,1
CAT,2,40,5,4,22.27272727,1.909090909,2.454545455,22,1,2,1,0
CAT,3,40,5,4,22.27272727,1.909090909,2.454545455,22,1,2,1,0
CAT,4,42,5,4,22.41666667,1.833333333,2.333333333,23,1,2,1,0
CHMOD,1,30,3,5,19.16666667,0.916666667,3.25,21.5,1,3.5,0,0
CHMOD,2,30,3,5,17.84615385,0.923076923,3.076923077,21,1,3,0,0
CHMOD,3,38,3,5,22.35294118,1.058823529,3.411764706,23,1,4,0,0
CHMOD,4,28,3,5,16.75,0.916666667,3,20,1,3,0,0
CUT,1,46,3,4,25.375,1.4375,2,22.5,1,2,0,0
CUT,2,46,3,4,24.23529412,1.411764706,1.941176471,22,1,2,0,0
CUT,3,44,3,4,23.8125,1.4375,2,20,1,2,0,0
CUT,4,46,3,4,24.23529412,1.411764706,1.941176471,22,1,2,0,0
DF,1,58,4,4,36,2.727272727,2.909090909,37.5,3,3,1,1
DF,2,64,6,4,38.65384615,3.192307692,2.923076923,42,3,3,1,1
DF,3,56,4,4,34.04545455,2.727272727,2.954545455,35.5,3,3,1,1
DF,4,56,4,4,34.09090909,2.727272727,2.909090909,35.5,3,3,1,1
DU,1,5890,3,491,2942.685739,-230.0368444,235.9618552,2943,-227,233,0,0
DU,2,6948,3,474,3485.304545,-227.4272727,233.5947552,3487.5,-225.5,232,0,0
DU,3,5700,3,475,2846.54232,-223.0846395,229.0143305,2846,-219,225,0,0
DU,4,5699,3,476,2846.530228,-223.0967309,229.025974,2846,-219,225,0,0
ECHO,1,48,3,1,27.54545455,2.454545455,1,29,3,1,1,0
ECHO,2,26,3,1,15.16666667,2,1,16.5,2,1,1,1
ECHO,3,24,3,1,14.18181818,2.090909091,1,16,2,1,1,1
ECHO,4,48,3,1,26.95652174,2.565217391,1,27,3,1,1,0
EXPAND,1,34,3,3,22,2,2.285714286,29,2,2,1,0
EXPAND,2,34,3,3,19.75,1.875,2.125,24,2,2,1,0
EXPAND,3,43,3,3,21.66666667,2,2.333333333,14.5,2,2,1,0
EXPAND,4,45,3,3,22,1.923076923,2.230769231,16,2,2,1,0
EXPR,1,316,2,10,184.3571429,0.914285714,8.114285714,189.5,1,9,0,0
EXPR,2,262,3,9,151.4193548,1.612903226,6.693548387,156,2,7,1,0
EXPR,3,265,3,9,153.5483871,1.612903226,6.709677419,159,2,7,0,0
EXPR,4,254,4,9,149.75,1.583333333,6.9,160.5,2,7,1,0
FMT,1,44,5,5,36.9,2.9,3.3,37.5,3,3.5,0,0
FMT,2,46,5,5,35.54545455,2.727272727,3.090909091,39,3,3,1,0
FMT,3,46,5,5,35.54545455,2.727272727,3.090909091,39,3,3,1,0
FMT,4,46,5,5,35.54545455,2.727272727,3.090909091,39,3,3,0,0
HEAD,1,28,3,3,22,1.8,2.2,24,2,2,1,1
HEAD,2,34,3,4,20.33333333,1.666666667,2.222222222,21,2,2,1,1
HEAD,3,30,3,3,18.14285714,1.571428571,2,19,1,2,1,1
HEAD,4,32,3,3,19.5,1.75,2.125,21,1.5,2,1,1
ID,1,18,1,4,12.85714286,0,2.857142857,13,0,3,1,1
ID,2,12,2,2,8.6,1,1.6,10,1,2,1,1
ID,3,20,1,4,13.5,0.125,2.625,14.5,0.5,3,1,0
ID,4,10,1,2,7.25,0.75,1.5,7.5,1,1.5,1,1
KILL,1,9,1,2,5.5,1,1.5,5.5,1,1.5,0,0
KILL,2,7,1,2,4.5,1,1.5,4.5,1,1.5,0,0
KILL,3,6,1,2,5.5,0.5,2,5.5,0.5,2,0,1
KILL,4,12,2,2,6.75,1.5,1.75,5.5,1.5,2,0,0
LN,1,14,2,2,9.8,1,1.6,12,1,2,0,0
LN,2,16,3,2,10.28571429,1.285714286,1.571428571,13,1,2,0,0
LN,3,16,2,2,10.71428571,1.285714286,1.714285714,12,1,2,0,0
LN,4,16,2,2,10.71428571,1.285714286,1.714285714,12,1,2,0,0
LS,1,141,5,5,75.92307692,1.984615385,2.8,75,2,3,0,0
LS,2,78,5,4,44.02777778,2.138888889,2.305555556,45.5,2,2,0,0
LS,3,78,5,4,44.02777778,2.138888889,2.305555556,45.5,2,2,0,0
LS,4,80,5,4,44.97297297,2.054054054,2.297297297,47,2,2,0,0
NL,1,153,3,3,147.8,2,1.8,151,2,2,0,0
NL,2,153,3,3,123.5,1.833333333,1.666666667,149.5,2,1.5,0,0
NL,3,141,3,3,113.5,1.833333333,1.666666667,137.5,2,1.5,0,0
NL,4,153,3,3,123.5,1.833333333,1.666666667,149.5,2,1.5,0,0
PATHCHK,1,609,4,3,552.1538462,2.230769231,2.153846154,596,2,2,1,0
PATHCHK,2,12,3,2,10.5,1.75,1.75,10.5,1.5,2,1,1
PATHCHK,3,30,3,3,23.33333333,1.5,1.833333333,27.5,1,2,1,1
PATHCHK,4,625,4,3,493.3333333,2.066666667,2.133333333,609,2,2,1,1
PINKY,1,24038,8,6,12583.33202,5.519104084,4.363636364,12868,6,4,0,0
PINKY,2,24038,8,6,12566.77763,5.513157895,4.359210526,12866.5,6,4,0,0
PINKY,3,24038,8,6,12566.77763,5.513157895,4.359210526,12866.5,6,4,0,0
PINKY,4,24038,8,6,12566.77763,5.513157895,4.359210526,12866.5,6,4,1,0
PR,1,117,8,6,69.61904762,3.619047619,3.738095238,66,3.5,4,0,0
PR,2,115,8,6,67.66666667,3.619047619,3.738095238,64,3.5,4,0,0
PR,3,115,8,6,67.66666667,3.619047619,3.738095238,64,3.5,4,0,0
PR,4,121,8,6,69.68888889,3.555555556,3.666666667,67,3,4,0,0
PRINTF,1,544,2,3,541.6,1.6,2,542,2,2,1,0
PRINTF,2,30,2,2,19.76923077,1.846153846,1.923076923,20,2,2,1,1
PRINTF,3,2132,2,3,1398.375,1.75,2.125,1332.5,2,2,1,1
PRINTF,4,546,3,5,541.875,2,2.875,541.5,2,2.5,1,1
PTX,1,553,2,3,284.7925926,0.014814815,2.966666667,285,0,3,1,1
PTX,2,1065,2,3,535.9943074,0.981024668,2.495256167,540,0,2,1,0
PTX,3,555,2,3,284.8051471,0.018382353,2.966911765,285,0,3,1,0
PTX,4,551,2,3,282.8,0.014814815,2.966666667,283,0,3,1,0
SEQ,1,439,4,2,317.8947368,2.473684211,1.789473684,382,3,2,1,0
SEQ,2,326,4,2,253.962963,2.37037037,1.888888889,295,2,2,0,0
SEQ,3,438,4,2,351.1785714,2.357142857,1.857142857,405.5,2,2,0,0
SEQ,4,489,4,2,375.1428571,1.964285714,1.857142857,461.5,2,2,1,0
STAT,1,1640,4,5,842.8051282,2,3.317948718,791,2,3,1,1
STAT,2,824,3,5,438.4090909,1.954545455,3.575757576,440.5,2,3,1,1
STAT,3,1116,2,5,556.1337209,1.976744186,3.168604651,534,2,3,1,1
STAT,4,1640,4,5,838.5153061,1.994897959,3.306122449,790,2,3,1,0
SUM,1,27,3,2,20.5,2,1.5,24.5,2,1.5,1,1
SUM,2,36,3,2,22.47058824,2.647058824,1.823529412,23,3,2,1,1
SUM,3,44,3,2,28.8,2.2,1.6,28,2,2,1,1
SUM,4,94,3,2,51.73913043,2.826086957,1.913043478,52,3,2,1,1
TAIL,1,64,6,4,38,2.266666667,2.266666667,47,2,2,1,1
TAIL,2,75,6,4,41,2.3,2.25,39,2,2,0,1
TAIL,3,67,6,4,39.0625,2.25,2.25,43.5,2,2,1,1
TAIL,4,81,6,4,46.6,2.6,2.48,47,2,2,0,0
TEST,1,18,0,6,15,-0.666666667,4.666666667,15.5,-1,4.5,0,1
TEST,2,56,5,5,43.2,2.4,4,49.5,2.5,4,0,0
TEST,3,23,2,4,17.66666667,0.833333333,3.333333333,20.5,0.5,3.5,0,1
TEST,4,16,0,6,13,-0.666666667,4.666666667,13.5,-1,4.5,0,1
TOUCH,1,22,2,3,14.44444444,0.777777778,2.111111111,14,1,2,1,1
TOUCH,2,30,4,2,16.36363636,1.818181818,1.363636364,16,1,1,0,1
TOUCH,3,28,5,2,14.55555556,2,1.222222222,12,1,1,0,1
TOUCH,4,28,5,2,14.55555556,2,1.222222222,12,1,1,0,1
UNEXPAND,1,38,3,3,24.85714286,2,2.285714286,33,2,2,1,0
UNEXPAND,2,38,3,3,22,1.875,2.125,26,2,2,1,0
UNEXPAND,3,51,3,3,25.84615385,2.076923077,2.384615385,20,2,2,1,0
UNEXPAND,4,53,3,3,26.21428571,2,2.285714286,19.5,2,2,1,0
UNIQ,1,131,4,2,67,2.5,1.5,67,2.5,1.5,0,0
UNIQ,2,179,7,3,140.6470588,5.470588235,2.352941176,146.5,6,2,1,0
UNIQ,3,189,7,3,146.7179487,5.666666667,2.435897436,152,6,2,1,0
UNIQ,4,184,7,3,142.9117647,5.617647059,2.352941176,148.5,6,2,1,0
WC,1,53,4,4,30,2.058823529,2.352941176,24,2,2,0,0
WC,2,51,4,4,28.23529412,2.058823529,2.352941176,22,2,2,0,0
WC,3,59,4,4,32.0952381,2.142857143,2.380952381,26,2,2,0,0
WC,4,63,4,4,34.04347826,2.173913043,2.391304348,28,2,2,0,0
WHO,1,21503,7,5,10886.73166,4.517374517,4.077220077,11067.5,5,4,0,0
WHO,2,22172,7,5,11063.17658,4.498141264,4.081784387,11092.5,5,4,1,0
WHO,3,21503,7,5,10865.75915,4.510597303,4.071290944,11066,5,4,1,0
WHO,4,831,7,5,324.328125,2.609375,3.15625,125,2,3,0,0
